txn_id,value_date,amount,direction,narration,utr,balance_after
BNK-000302,2026-05-13,17701.06,CREDIT,NEFT/BOSESOL/1286/YESB,581424323048,1247987.78
BNK-000381,2026-05-13,32152.70,CREDIT,IMPS-182881528608-BhattTra,182881528608,1280140.48
BNK-000109,2026-05-14,4470.18,CREDIT,NEFT/VenkaPol/INV-1080/HDFC,849996661928,1284610.66
BNK-000234,2026-05-14,50304.21,CREDIT,INB/567521075121/PAYMENT,567521075121,1334914.87
BNK-000256,2026-05-14,393045.38,CREDIT,NEFT/VenkaTra/INV-1234/UTIB,308015757052,1727960.25
BNK-000351,2026-05-14,188835.07,CREDIT,NEFT/BoseAgr/1336/YESB,692811171450,1916795.32
BNK-000435,2026-05-14,15567.72,CREDIT,NEFT-ChauhTex,473534433384,1932363.04
BNK-000160,2026-05-15,96464.45,CREDIT,CMS/1136/AGARWPAC,415419181968,2028827.49
BNK-000172,2026-05-15,26354.63,CREDIT,BY TRANSFER-123267600011-,123267600011,2055182.12
BNK-000173,2026-05-15,26354.63,CREDIT,NEFT/AGARWLOG/1156/UTIB,511959734719,2081536.75
BNK-000296,2026-05-15,35096.87,CREDIT,UPI/664937954300/iyrsl@okhdfcbank,664937954300,2116633.62
BNK-000329,2026-05-15,6515.70,CREDIT,CMS/INV-1317/PATELDIS,486785868219,2123149.32
BNK-000334,2026-05-16,19477.98,CREDIT,NEFT-IyerInd,628145337805,2142627.30
BNK-000429,2026-05-16,312048.22,CREDIT,CMS/INV-1429/AgrwLg,877386390168,2454675.52
BNK-000083,2026-05-17,43196.82,CREDIT,BY TRANSFER-965501180047-,965501180047,2497872.34
BNK-000288,2026-05-17,26208.85,CREDIT,UPI/469796579899/agarwdis@okutibbank,469796579899,2524081.19
BNK-000107,2026-05-18,16867.09,CREDIT,BY TRANSFER-493458769654-,493458769654,2540948.28
BNK-000469,2026-05-18,18833.58,CREDIT,RTGS YESB665263634773 REDDYLOG,665263634773,2559781.86
BNK-000470,2026-05-18,18833.58,CREDIT,INB/874962895389/PAYMENT,874962895389,2578615.44
BNK-000056,2026-05-19,17892.84,CREDIT,RTGS YESB969595311049 IYERAGR,969595311049,2596508.28
BNK-000084,2026-05-19,37598.79,CREDIT,IMPS-880124740114-VenkaPol,880124740114,2634107.07
BNK-000089,2026-05-19,14298.63,CREDIT,UPI/889858380799/iyerind@okkkbkbank,889858380799,2648405.70
BNK-000510,2026-05-19,42899.46,CREDIT,IMPS-515887934736-UNKNOWN REMITTER,515887934736,2691305.16
BNK-000527,2026-05-19,68125.43,CREDIT,IMPS-130550487040-UNKNOWN REMITTER,130550487040,2759430.59
BNK-000112,2026-05-20,56688.58,CREDIT,BY TRANSFER-278735907815-,278735907815,2816119.17
BNK-000113,2026-05-20,56688.58,CREDIT,BY TRANSFER-459437263463-,459437263463,2872807.75
BNK-000163,2026-05-20,43535.93,CREDIT,RTGS AXIS888661506755 VENKATEX,888661506755,2916343.68
BNK-000417,2026-05-20,11112.07,CREDIT,NEFT-Snhgr,846823917591,2927455.75
BNK-000506,2026-05-20,19219.31,CREDIT,INT.PD:603428895049,603428895049,2946675.06
BNK-000075,2026-05-21,91758.91,CREDIT,NEFT/ChattInf/INV-1042/SBIN,998697736235,3038433.97
BNK-000323,2026-05-21,26544.32,CREDIT,NEFT/PatelChe/INV-1312/KKBK,126384370623,3064978.29
BNK-000384,2026-05-21,96243.91,CREDIT,RTGS AXIS868170095245 CHAUHTEX,868170095245,3161222.20
BNK-000516,2026-05-21,16584.82,CREDIT,REV-751195913614-FAILED TXN,751195913614,3177807.02
BNK-000165,2026-05-22,10109.08,CREDIT,NEFT/BHATTTRA/INV-1148/PUNB,499067527661,3187916.10
BNK-000127,2026-05-23,65623.53,CREDIT,BY TRANSFER-793445013461-,793445013461,3253539.63
BNK-000512,2026-05-23,60042.90,CREDIT,NEFT/RSTNF/RETURN,294819975357,3313582.53
BNK-000050,2026-05-24,20150.56,CREDIT,NEFT/VnkPl/INV-1015/KKBK,314944349306,3333733.09
BNK-000051,2026-05-24,26161.84,CREDIT,RTGS AXIS288995464013 TRVPC,288995464013,3359894.93
BNK-000067,2026-05-24,41438.54,CREDIT,NEFT/IYERSOL/1034/SBIN,158995640580,3401333.47
BNK-000105,2026-05-24,44249.65,CREDIT,CMS/INV-1076/NAIRLOG,648673696656,3445583.12
BNK-000106,2026-05-24,44249.65,CREDIT,NEFT/NRLG/1076/SBIN,233833113021,3489832.77
BNK-000182,2026-05-24,67248.89,CREDIT,NEFT-BhattTra,763315559111,3557081.66
BNK-000183,2026-05-24,20177.90,CREDIT,CMS/INV-1167/CHATTAGR,258412914973,3577259.56
BNK-000439,2026-05-24,98996.91,CREDIT,UPI/448156637913/deshmpac@okutibbank,448156637913,3676256.47
BNK-000122,2026-05-25,14588.97,CREDIT,NEFT/BhattTra/1097/KKBK,384542379321,3690845.44
BNK-000153,2026-05-25,63389.73,CREDIT,INB/684302847573/PAYMENT,684302847573,3754235.17
BNK-000191,2026-05-25,13543.35,CREDIT,RTGS AXIS891059788292 AGARWLOG,891059788292,3767778.52
BNK-000426,2026-05-25,87387.18,CREDIT,UPI/292871186218/chauhche@okkkbkbank,292871186218,3855165.70
BNK-000427,2026-05-25,87387.18,CREDIT,RTGS UTIB883003159414 CHAUHCHE,883003159414,3942552.88
BNK-000447,2026-05-25,8211.57,CREDIT,BY TRANSFER-797552601690-,797552601690,3950764.45
BNK-000448,2026-05-25,8211.57,CREDIT,INB/221529510230/PAYMENT,221529510230,3958976.02
BNK-000036,2026-05-26,284233.14,CREDIT,INB/766384838702/PAYMENT,766384838702,4243209.16
BNK-000193,2026-05-26,80249.70,CREDIT,RTGS UTIB901571550788 BOSETEX,901571550788,4323458.86
BNK-000214,2026-05-26,64122.49,CREDIT,NEFT-AgarwLog,448385993429,4387581.35
BNK-000215,2026-05-26,64122.49,CREDIT,CMS/INV-1196/AGRWLG,365826488670,4451703.84
BNK-000349,2026-05-26,17712.46,CREDIT,INB/979539741243/PAYMENT,979539741243,4469416.30
BNK-000407,2026-05-26,41544.30,CREDIT,IMPS-460048902800-MalhoSte,460048902800,4510960.60
BNK-000281,2026-05-27,26502.75,CREDIT,INB/736027590949/PAYMENT,736027590949,4537463.35
BNK-000285,2026-05-27,30161.68,CREDIT,NEFT-CHATTPAC,794903264606,4567625.03
BNK-000325,2026-05-27,112964.75,CREDIT,NEFT-VENKAMOT,238213668632,4680589.78
BNK-000326,2026-05-27,112964.75,CREDIT,IMPS-937925236712-VENKAMOT,937925236712,4793554.53
BNK-000147,2026-05-28,45756.34,CREDIT,IMPS-150334875606-AGARWSTE,150334875606,4839310.87
BNK-000315,2026-05-28,54293.76,CREDIT,IMPS-387599457940-NAIRLOG,387599457940,4893604.63
BNK-000379,2026-05-28,30487.13,CREDIT,RTGS AXIS812976742343 DESHMDIS,812976742343,4924091.76
BNK-000413,2026-05-28,286494.52,CREDIT,IMPS-503975413567-NairLog,503975413567,5210586.28
BNK-000423,2026-05-28,13144.79,CREDIT,CMS/1423/VnkTx,993182910764,5223731.07
BNK-000520,2026-05-28,72337.01,CREDIT,REV-654592295720-FAILED TXN,654592295720,5296068.08
BNK-000181,2026-05-29,8060.00,CREDIT,IMPS-782996300599-BHATTTRA,782996300599,5304128.08
BNK-000255,2026-05-29,9013.82,CREDIT,INB/723039338021/PAYMENT,723039338021,5313141.90
BNK-000289,2026-05-29,22326.05,CREDIT,CMS/INV-1272/AgarwDis,426603728043,5335467.95
BNK-000466,2026-05-29,22965.94,CREDIT,CMS/INV-1562/DESHMPAC,926240291166,5358433.89
BNK-000044,2026-05-30,18215.93,CREDIT,UPI/936135378053/deshment@okaxisbank,936135378053,5376649.82
BNK-000211,2026-05-30,7575.63,CREDIT,IMPS-155681362811-BOSEMOT,155681362811,5384225.45
BNK-000328,2026-05-30,35546.23,CREDIT,UPI/814439052501/bhatttra@okhdfcbank,814439052501,5419771.68
BNK-000475,2026-05-30,84220.62,CREDIT,NEFT-AGRWDS,716374966186,5503992.30
BNK-000078,2026-05-31,55293.23,CREDIT,INB/476795082204/PAYMENT,476795082204,5559285.53
BNK-000119,2026-05-31,42629.04,CREDIT,CMS/INV-1092/MEHTATRA,801589880262,5601914.57
BNK-000287,2026-05-31,99317.87,CREDIT,RTGS ICIC321140745865 BOSEMOT,321140745865,5701232.44
BNK-000366,2026-05-31,41822.48,CREDIT,IMPS-118678344222-BOSESOL,118678344222,5743054.92
BNK-000457,2026-05-31,23984.63,CREDIT,NEFT/MehtaChe/INV-1455/HDFC,533708384664,5767039.55
BNK-000152,2026-06-01,265083.93,CREDIT,RTGS SBIN716372890209 VENKAPOL,716372890209,6032123.48
BNK-000154,2026-06-01,215137.01,CREDIT,BY TRANSFER-621913230612-,621913230612,6247260.49
BNK-000220,2026-06-01,10678.44,CREDIT,IMPS-362343450426-VenkaTex,362343450426,6257938.93
BNK-000254,2026-06-01,81468.90,CREDIT,IMPS-803840256648-PatelChe,803840256648,6339407.83
BNK-000486,2026-06-01,26101.36,CREDIT,IMPS-223314494896-AGRWLG,223314494896,6365509.19
BNK-000114,2026-06-02,24322.56,CREDIT,NEFT/IYERSOL/1086/PUNB,637227267940,6389831.75
BNK-000128,2026-06-02,30457.77,CREDIT,UPI/837295127492/bhatttra@okkkbkbank,837295127492,6420289.52
BNK-000146,2026-06-02,39098.13,CREDIT,INB/169973359287/PAYMENT,169973359287,6459387.65
BNK-000179,2026-06-02,227426.18,CREDIT,IMPS-352931765486-IyerInd,352931765486,6686813.83
BNK-000205,2026-06-02,27061.76,CREDIT,INB/453045754260/PAYMENT,453045754260,6713875.59
BNK-000209,2026-06-02,125857.12,CREDIT,CMS/1189/RSTTR,989141265586,6839732.71
BNK-000352,2026-06-02,153674.41,CREDIT,NEFT/AgrwLg/INV-1337/SBIN,312296071326,6993407.12
BNK-000353,2026-06-02,153674.41,CREDIT,NEFT/AGRWLG/INV-1337/HDFC,107363999683,7147081.53
BNK-000395,2026-06-02,68884.05,CREDIT,UPI/141618539821/chauhtex@okicicbank,141618539821,7215965.58
BNK-000521,2026-06-02,14701.74,CREDIT,REFUND/227574103194/GATEWAY,227574103194,7230667.32
BNK-000130,2026-06-03,26232.72,CREDIT,NEFT/NairTra/1103/ICIC,314714511399,7256900.04
BNK-000176,2026-06-03,14039.13,CREDIT,NEFT-CHAUHTEX,440478080070,7270939.17
BNK-000272,2026-06-03,49922.19,CREDIT,CMS/INV-1250/IyerSol,133295845145,7320861.36
BNK-000278,2026-06-03,125234.19,CREDIT,INB/846250135706/PAYMENT,846250135706,7446095.55
BNK-000283,2026-06-03,23154.66,CREDIT,RTGS YESB135420159390 IYERIND,135420159390,7469250.21
BNK-000337,2026-06-03,23817.41,CREDIT,BY TRANSFER-537328099854-,537328099854,7493067.62
BNK-000477,2026-06-03,76517.30,CREDIT,NEFT-IyerSol,718269261446,7569584.92
BNK-000034,2026-06-04,130525.62,CREDIT,BY TRANSFER-640059555857-,640059555857,7700110.54
BNK-000148,2026-06-04,18789.16,CREDIT,NEFT-NrLg,548251650445,7718899.70
BNK-000169,2026-06-04,36981.77,CREDIT,NEFT-RastoEnt,600397142270,7755881.47
BNK-000188,2026-06-04,36118.46,CREDIT,NEFT/NairLog/INV-1171/SBIN,986641768680,7791999.93
BNK-000203,2026-06-04,44418.47,CREDIT,IMPS-225251468182-DSHMLG,225251468182,7836418.40
BNK-000311,2026-06-04,4871.20,CREDIT,BY TRANSFER-283000619090-,283000619090,7841289.60
BNK-000331,2026-06-04,59934.40,CREDIT,BY TRANSFER-696643829937-,696643829937,7901224.00
BNK-000371,2026-06-04,81876.28,CREDIT,INB/916928670697/PAYMENT,916928670697,7983100.28
BNK-000376,2026-06-04,37218.03,CREDIT,BY TRANSFER-966683191939-,966683191939,8020318.31
BNK-000409,2026-06-04,40266.92,CREDIT,UPI/861136498213/iyersol@okhdfcbank,861136498213,8060585.23
BNK-000111,2026-06-05,46108.82,CREDIT,BY TRANSFER-979800286845-,979800286845,8106694.05
BNK-000273,2026-06-05,15922.97,CREDIT,RTGS KKBK615553253698 REDDYLOG,615553253698,8122617.02
BNK-000286,2026-06-05,41916.76,CREDIT,NEFT-AgarwChe,616832183032,8164533.78
BNK-000345,2026-06-05,100866.25,CREDIT,IMPS-744344453625-AGARWLOG,744344453625,8265400.03
BNK-000430,2026-06-05,5206.34,CREDIT,IMPS-228211589142-AgrwLg,228211589142,8270606.37
BNK-000458,2026-06-05,39667.25,CREDIT,CMS/INV-1456/MalhoTex,946911906106,8310273.62
BNK-000485,2026-06-05,87702.61,CREDIT,IMPS-659588525584-AGRWDS,659588525584,8397976.23
BNK-000505,2026-06-05,19911.88,CREDIT,IMPS-749432682951-UNKNOWN REMITTER,749432682951,8417888.11
BNK-000138,2026-06-06,14457.38,CREDIT,RTGS SBIN594131478165 IYRSL,594131478165,8432345.49
BNK-000225,2026-06-06,64628.39,CREDIT,BY TRANSFER-415458506635-,415458506635,8496973.88
BNK-000242,2026-06-06,124306.90,CREDIT,CMS/INV-1222/PtlDs,582098063183,8621280.78
BNK-000252,2026-06-06,27768.98,CREDIT,CMS/1230/TriveLog,130566040170,8649049.76
BNK-000293,2026-06-06,14244.45,CREDIT,NEFT-AgarwLog,130693968827,8663294.21
BNK-000312,2026-06-06,27697.89,CREDIT,INB/543691426697/PAYMENT,543691426697,8690992.10
BNK-000361,2026-06-06,27117.97,CREDIT,CMS/1345/KULKAAGR,141144279549,8718110.07
BNK-000134,2026-06-07,7673.43,CREDIT,BY TRANSFER-277748089981-,277748089981,8725783.50
BNK-000142,2026-06-07,59329.95,CREDIT,CMS/1115/RASTOTRA,330509157956,8785113.45
BNK-000284,2026-06-07,12555.08,CREDIT,INB/564846989529/PAYMENT,564846989529,8797668.53
BNK-000482,2026-06-07,6300.81,CREDIT,NEFT/RASTOTEX/1480/KKBK,427383511140,8803969.34
BNK-000069,2026-06-08,18538.98,CREDIT,NEFT-BhattTra,199286678003,8822508.32
BNK-000436,2026-06-08,7984.05,CREDIT,BY TRANSFER-369562588892-,369562588892,8830492.37
BNK-000039,2026-06-09,22084.83,CREDIT,CMS/1002/BHATTTRA,885729976775,8852577.20
BNK-000046,2026-06-09,4111.79,CREDIT,IMPS-395832687952-AGARWDIS,395832687952,8856688.99
BNK-000085,2026-06-09,20505.09,CREDIT,NEFT/IyerSol/INV-1053/PUNB,926982501439,8877194.08
BNK-000207,2026-06-09,31833.53,CREDIT,UPI/564592219839/dshmpc@okaxisbank,564592219839,8909027.61
BNK-000218,2026-06-09,86239.04,CREDIT,RTGS PUNB149046871010 SNHGR,149046871010,8995266.65
BNK-000310,2026-06-09,13523.83,CREDIT,NEFT-CHATTAGR,666851230472,9008790.48
BNK-000420,2026-06-09,6008.40,CREDIT,INB/101688488936/PAYMENT,101688488936,9014798.88
BNK-000131,2026-06-10,20199.10,CREDIT,UPI/747295048964/bhatttra@oksbinbank,747295048964,9034997.98
BNK-000508,2026-06-10,26124.38,CREDIT,INT.PD:110804742687,110804742687,9061122.36
BNK-000509,2026-06-10,14785.69,CREDIT,REFUND/608071112187/GATEWAY,608071112187,9075908.05
BNK-000530,2026-06-10,48308.69,CREDIT,INT.PD:540838038565,540838038565,9124216.74
BNK-000291,2026-06-11,90129.53,CREDIT,NEFT-AGRWLG,875364106877,9214346.27
BNK-000350,2026-06-11,11956.66,CREDIT,INB/902384320780/PAYMENT,902384320780,9226302.93
BNK-000052,2026-06-12,40440.67,CREDIT,BY TRANSFER-616034377501-,616034377501,9266743.60
BNK-000053,2026-06-12,40440.67,CREDIT,NEFT-SinhaAgr,194176702108,9307184.27
BNK-000057,2026-06-12,19306.42,CREDIT,INB/216890921730/PAYMENT,216890921730,9326490.69
BNK-000248,2026-06-12,45671.19,CREDIT,INB/725675706712/PAYMENT,725675706712,9372161.88
BNK-000249,2026-06-12,45671.19,CREDIT,NEFT/PATELDIS/INV-1227/KKBK,867487806206,9417833.07
BNK-000297,2026-06-12,35176.35,CREDIT,INB/198933013144/PAYMENT,198933013144,9453009.42
BNK-000340,2026-06-12,24402.50,CREDIT,RTGS KKBK362944902994 RSTTR,362944902994,9477411.92
BNK-000370,2026-06-12,85594.02,CREDIT,UPI/578226542206/bhatttra@okaxisbank,578226542206,9563005.94
BNK-000380,2026-06-12,30855.19,CREDIT,IMPS-716128137670-DESHMDIS,716128137670,9593861.13
BNK-000406,2026-06-12,36703.04,CREDIT,IMPS-488784242615-TriveEnt,488784242615,9630564.17
BNK-000189,2026-06-13,131884.52,CREDIT,UPI/953412951271/rastoent@okpunbbank,953412951271,9762448.69
BNK-000190,2026-06-13,131884.52,CREDIT,CMS/1172/RASTOENT,267936326966,9894333.21
BNK-000262,2026-06-13,63931.34,CREDIT,BY TRANSFER-554992223072-,554992223072,9958264.55
BNK-000303,2026-06-13,7989.89,CREDIT,UPI/115312621807/bosesol@okkkbkbank,115312621807,9966254.44
BNK-000434,2026-06-13,25350.20,CREDIT,INB/645725696324/PAYMENT,645725696324,9991604.64
BNK-000440,2026-06-13,79697.88,CREDIT,INB/702102375624/PAYMENT,702102375624,10071302.52
BNK-000264,2026-06-14,71272.06,CREDIT,BY TRANSFER-189260042775-,189260042775,10142574.58
BNK-000372,2026-06-14,24997.78,CREDIT,IMPS-523342063759-AGARWDIS,523342063759,10167572.36
BNK-000375,2026-06-14,57915.65,CREDIT,INB/662479239342/PAYMENT,662479239342,10225488.01
BNK-000005,2026-06-15,116514.30,CREDIT,INB/440602602021/PAYMENT,440602602021,10342002.31
BNK-000228,2026-06-15,12455.61,CREDIT,NEFT-PillaTex,465236056528,10354457.92
BNK-000342,2026-06-15,10575.10,CREDIT,BY TRANSFER-778378444748-,778378444748,10365033.02
BNK-000367,2026-06-15,73279.91,CREDIT,IMPS-991117943713-AgarwChe,991117943713,10438312.93
BNK-000373,2026-06-15,31603.27,CREDIT,BY TRANSFER-137004474436-,137004474436,10469916.20
BNK-000058,2026-06-16,44326.11,CREDIT,RTGS YESB128880907191 VENKASTE,128880907191,10514242.31
BNK-000115,2026-06-17,63859.36,CREDIT,BY TRANSFER-744619899672-,744619899672,10578101.67
BNK-000170,2026-06-17,66914.16,CREDIT,RTGS UTIB329957117994 VENKAPOL,329957117994,10645015.83
BNK-000236,2026-06-17,11904.73,CREDIT,NEFT-BhattTra,657488282282,10656920.56
BNK-000277,2026-06-17,13110.76,CREDIT,IMPS-665905318170-IyerSol,665905318170,10670031.32
BNK-000301,2026-06-17,75856.76,CREDIT,CMS/1285/TRIVEPAC,789023820989,10745888.08
BNK-000488,2026-06-17,11550.28,CREDIT,RTGS SBIN660569713484 IYERIND,660569713484,10757438.36
BNK-000018,2026-06-18,85310.19,CREDIT,IMPS-130949756197-IYRIND,130949756197,10842748.55
BNK-000212,2026-06-18,10249.37,CREDIT,RTGS KKBK862666546920 BOSEMOT,862666546920,10852997.92
BNK-000279,2026-06-18,57635.92,CREDIT,BY TRANSFER-350525900816-,350525900816,10910633.84
BNK-000280,2026-06-18,57635.92,CREDIT,NEFT-AGARWCHE,114095764188,10968269.76
BNK-000335,2026-06-18,17272.92,CREDIT,NEFT/IyrInd/1321/YESB,980142784206,10985542.68
BNK-000374,2026-06-18,24124.21,CREDIT,CMS/1361/TRIVECHE,721141646715,11009666.89
BNK-000498,2026-06-18,15083.28,CREDIT,IMPS-796576838193-VenkaPol,796576838193,11024750.17
BNK-000518,2026-06-18,56127.39,CREDIT,REFUND/413908762546/GATEWAY,413908762546,11080877.56
BNK-000307,2026-06-19,226357.65,CREDIT,RTGS YESB475549862288 AGARWSTE,475549862288,11307235.21
BNK-000344,2026-06-19,17707.75,CREDIT,IMPS-927200698032-AGARWLOG,927200698032,11324942.96
BNK-000467,2026-06-19,58437.35,CREDIT,IMPS-935917420973-AgarwLog,935917420973,11383380.31
BNK-000494,2026-06-19,157813.48,CREDIT,NEFT/BhattTra/1493/KKBK,709947297183,11541193.79
BNK-000125,2026-06-20,89537.89,CREDIT,INB/208953270853/PAYMENT,208953270853,11630731.68
BNK-000133,2026-06-20,27153.73,CREDIT,NEFT-ChauhSte,923901840080,11657885.41
BNK-000492,2026-06-20,150606.16,CREDIT,RTGS ICIC845783372611 BHATTTRA,845783372611,11808491.57
BNK-000493,2026-06-20,150606.16,CREDIT,UPI/350567970294/bhatttra@okyesbbank,350567970294,11959097.73
BNK-000511,2026-06-20,82532.03,CREDIT,NEFT/CHAUHCHE/RETURN,582821013334,12041629.76
BNK-000524,2026-06-20,3130.79,CREDIT,REFUND/138498624274/GATEWAY,138498624274,12044760.55
BNK-000503,2026-06-21,43153.42,CREDIT,REFUND/810491036204/GATEWAY,810491036204,12087913.97
BNK-000032,2026-06-22,172237.49,CREDIT,BY TRANSFER-594273282062-,594273282062,12260151.46
BNK-000118,2026-06-22,48293.43,CREDIT,INB/539451160337/PAYMENT,539451160337,12308444.89
BNK-000177,2026-06-22,26654.01,CREDIT,INB/642729313553/PAYMENT,642729313553,12335098.90
BNK-000403,2026-06-22,9614.03,CREDIT,IMPS-379843504267-BOSETEX,379843504267,12344712.93
BNK-000421,2026-06-22,19577.60,CREDIT,UPI/374564901652/venkatra@okicicbank,374564901652,12364290.53
BNK-000040,2026-06-23,10250.20,CREDIT,UPI/293131337022/bhatttra@okkkbkbank,293131337022,12374540.73
BNK-000048,2026-06-23,70514.17,CREDIT,IMPS-505419266511-BhattChe,505419266511,12445054.90
BNK-000237,2026-06-23,3857.83,CREDIT,CMS/INV-1217/BHATTTRA,765916491653,12448912.73
BNK-000241,2026-06-23,57896.32,CREDIT,CMS/INV-1220/PatelChe,358825582607,12506809.05
BNK-000275,2026-06-23,15409.35,CREDIT,IMPS-443545371661-VnkTx,443545371661,12522218.40
BNK-000341,2026-06-23,11325.91,CREDIT,CMS/INV-1327/RASTOTRA,717564006795,12533544.31
BNK-000405,2026-06-23,62944.25,CREDIT,CMS/INV-1402/BOSEMOT,193417852649,12596488.56
BNK-000074,2026-06-24,17598.42,CREDIT,CMS/1041/ChhTx,489200614473,12614086.98
BNK-000363,2026-06-24,53647.72,CREDIT,NEFT/VnkSt/INV-1347/ICIC,429278077807,12667734.70
BNK-000414,2026-06-24,20271.11,CREDIT,INB/455798116356/PAYMENT,455798116356,12688005.81
BNK-000156,2026-06-25,42706.74,CREDIT,IMPS-497091258498-VENKATRA,497091258498,12730712.55
BNK-000213,2026-06-25,52114.84,CREDIT,NEFT-BHTTTR,458997754251,12782827.39
BNK-000265,2026-06-25,45919.40,CREDIT,NEFT-VNKPL,183893204328,12828746.79
BNK-000330,2026-06-25,8779.38,CREDIT,IMPS-788505436523-PtlDs,788505436523,12837526.17
BNK-000473,2026-06-25,11970.69,CREDIT,IMPS-222825672252-PatelChe,222825672252,12849496.86
BNK-000126,2026-06-26,18919.13,CREDIT,NEFT-BHATTTRA,646063595931,12868415.99
BNK-000140,2026-06-26,47965.68,CREDIT,CMS/INV-1112/Iyrgr,873550082274,12916381.67
BNK-000227,2026-06-26,67462.39,CREDIT,BY TRANSFER-965749939142-,965749939142,12983844.06
BNK-000324,2026-06-26,35620.36,CREDIT,CMS/INV-1312/PATELCHE,274746849126,13019464.42
BNK-000360,2026-06-26,27538.72,CREDIT,IMPS-170141570810-BoseAgr,170141570810,13047003.14
BNK-000424,2026-06-26,15631.98,CREDIT,BY TRANSFER-215708586502-,215708586502,13062635.12
BNK-000019,2026-06-27,89012.10,CREDIT,INB/959672216953/PAYMENT,959672216953,13151647.22
BNK-000076,2026-06-27,11185.87,CREDIT,RTGS HDFC247347918305 AGARWDIS,247347918305,13162833.09
BNK-000103,2026-06-27,13168.05,CREDIT,UPI/165325170749/malhopol@okhdfcbank,165325170749,13176001.14
BNK-000108,2026-06-27,64891.60,CREDIT,RTGS SBIN590714243274 VNKPL,590714243274,13240892.74
BNK-000137,2026-06-27,40844.29,CREDIT,IMPS-363528081447-DESHMENT,363528081447,13281737.03
BNK-000171,2026-06-27,10803.21,CREDIT,IMPS-506804674690-VNKTX,506804674690,13292540.24
BNK-000216,2026-06-27,18063.82,CREDIT,NEFT-BOSETEX,185964749019,13310604.06
BNK-000396,2026-06-27,16166.74,CREDIT,BY TRANSFER-657994295799-,657994295799,13326770.80
BNK-000459,2026-06-27,22899.25,CREDIT,UPI/123144665109/iyerpac@okicicbank,123144665109,13349670.05
BNK-000480,2026-06-27,91657.22,CREDIT,BY TRANSFER-341048127955-,341048127955,13441327.27
BNK-000490,2026-06-27,51741.54,CREDIT,NEFT-BHATTTRA,135004023256,13493068.81
BNK-000522,2026-06-27,1330.54,CREDIT,REFUND/128706836600/GATEWAY,128706836600,13494399.35
BNK-000037,2026-06-28,95699.62,CREDIT,BY TRANSFER-559390776751-,559390776751,13590098.97
BNK-000042,2026-06-28,28583.64,CREDIT,IMPS-728153347543-IyerInd,728153347543,13618682.61
BNK-000054,2026-06-28,13382.74,CREDIT,BY TRANSFER-463907302410-,463907302410,13632065.35
BNK-000068,2026-06-28,29275.69,CREDIT,CMS/1034/IyerSol,763709265529,13661341.04
BNK-000382,2026-06-28,24956.89,CREDIT,CMS/INV-1368/BHATTTRA,384315147517,13686297.93
BNK-000398,2026-06-28,24546.74,CREDIT,BY TRANSFER-995467205738-,995467205738,13710844.67
BNK-000408,2026-06-28,50541.75,CREDIT,IMPS-490259848660-IYERSOL,490259848660,13761386.42
BNK-000451,2026-06-28,8535.30,CREDIT,CMS/INV-1451/PillaTex,194807998745,13769921.72
BNK-000484,2026-06-28,50734.07,CREDIT,NEFT-RASTOENT,907469631966,13820655.79
BNK-000094,2026-06-29,72765.97,CREDIT,INB/635118785502/PAYMENT,635118785502,13893421.76
