invoice_id,counterparty,counterparty_id,gross_amount,tds_applicable,tds_rate,issue_date,due_date,status
INV-1077,Iyer Solutions,CP-002,16867.09,False,0,2026-05-03,2026-06-02,OPEN
INV-1078,Venkat Polymers Pvt Ltd,CP-005,64891.60,True,0.02,2026-06-04,2026-07-04,OPEN
INV-1079,Iyer Solutions,CP-002,40707.02,True,0.02,2026-05-28,2026-06-27,OPEN
INV-1080,Venkat Polymers Pvt Ltd,CP-005,6535.35,True,0.1,2026-05-03,2026-06-17,OPEN
INV-1081,Reddy Logistics,CP-027,39460.26,False,0,2026-07-07,2026-08-06,OPEN
INV-1082,Iyer Solutions,CP-002,19656.79,False,0,2026-07-06,2026-07-21,OPEN
INV-1083,Rastogi Infotech Ltd,CP-049,105957.99,True,0.02,2026-06-28,2026-07-13,OPEN
INV-1084,Patel Distributors Ltd,CP-029,55419.26,False,0,2026-05-17,2026-07-01,OPEN
INV-1085,Bose Solutions Pvt Ltd,CP-016,56688.58,True,0.02,2026-05-10,2026-06-09,OPEN
INV-1086,Iyer Solutions,CP-002,24342.69,False,0,2026-06-01,2026-06-16,OPEN
INV-1087,Agarwal Steels LLP,CP-011,11665.38,True,0.02,2026-07-23,2026-08-07,OPEN
INV-1088,Agarwal Packaging,CP-009,63859.36,True,0.1,2026-06-02,2026-07-02,OPEN
INV-1089,Agarwal Logistics,CP-001,13538.55,False,0,2026-06-23,2026-07-23,OPEN
INV-1090,Agarwal Logistics,CP-001,232858.77,True,0.1,2026-07-04,2026-07-19,OPEN
INV-1091,Agarwal Distributors,CP-003,76292.94,True,0.1,2026-05-29,2026-06-13,OPEN
INV-1092,Mehta Traders LLP,CP-051,39813.19,False,0,2026-05-29,2026-07-13,OPEN
INV-1093,Bhatt Traders Ltd,CP-000,261641.01,True,0.02,2026-05-07,2026-06-06,OPEN
INV-1094,Bhatt Traders Ltd,CP-000,13102.52,False,0,2026-06-10,2026-06-25,OPEN
INV-1095,Trivedi Enterprises Ltd,CP-048,29036.41,False,0,2026-07-07,2026-07-22,OPEN
INV-1096,Agarwal Distributors,CP-003,349079.06,False,0,2026-06-12,2026-06-27,OPEN
INV-1097,Bhatt Traders Ltd,CP-000,23760.53,False,0,2026-05-16,2026-05-31,OPEN
INV-1098,Venkat Polymers Pvt Ltd,CP-005,73144.74,True,0.1,2026-06-25,2026-07-10,OPEN
INV-1099,Bose Textiles Pvt Ltd,CP-004,89557.62,False,0,2026-06-16,2026-07-16,OPEN
INV-1100,Bhatt Traders Ltd,CP-000,19305.23,True,0.02,2026-06-21,2026-07-21,OPEN
INV-1101,Bhatt Traders Ltd,CP-000,96081.30,False,0,2026-05-09,2026-06-08,OPEN
INV-1102,Bose Textiles Pvt Ltd,CP-004,13050.07,False,0,2026-07-16,2026-08-30,OPEN
INV-1103,Nair Traders Pvt Ltd,CP-050,31682.03,False,0,2026-06-02,2026-07-02,OPEN
INV-1104,Bhatt Traders Ltd,CP-000,39919.17,False,0,2026-06-08,2026-06-23,OPEN
INV-1105,Chauhan Steels LLP,CP-014,27153.73,False,0,2026-06-16,2026-07-31,OPEN
INV-1106,Bhatt Traders Ltd,CP-000,6055.96,False,0,2026-06-01,2026-07-16,OPEN
INV-1107,Bhatt Traders Ltd,CP-000,45271.76,False,0,2026-06-24,2026-07-09,OPEN
INV-1108,Iyer Solutions,CP-002,39810.61,True,0.02,2026-06-27,2026-07-27,OPEN
INV-1109,Venkat Textiles,CP-007,88397.93,False,0,2026-07-08,2026-08-22,OPEN
INV-1110,Deshmukh Enterprises,CP-026,73993.28,False,0,2026-06-05,2026-07-05,OPEN
INV-1111,Iyer Solutions,CP-002,20742.29,True,0.02,2026-05-24,2026-06-23,OPEN
INV-1112,Iyer Agro Pvt Ltd,CP-041,48021.91,True,0.02,2026-06-20,2026-08-04,OPEN
INV-1113,Malhotra Textiles LLP,CP-010,51889.28,False,0,2026-06-29,2026-07-14,OPEN
INV-1114,Bhatt Traders Ltd,CP-000,86572.55,False,0,2026-06-27,2026-07-12,OPEN
INV-1115,Rastogi Traders,CP-040,98883.25,False,0,2026-05-25,2026-06-24,OPEN
INV-1116,Agarwal Packaging,CP-009,11460.22,False,0,2026-07-25,2026-08-09,OPEN
INV-1117,Bose Solutions Pvt Ltd,CP-016,66031.98,False,0,2026-05-05,2026-05-20,OPEN
INV-1118,Bhatt Traders Ltd,CP-000,32090.86,True,0.02,2026-07-19,2026-08-03,OPEN
INV-1119,Venkat Textiles Pvt Ltd,CP-030,43442.37,False,0,2026-05-13,2026-06-27,OPEN
INV-1120,Agarwal Steels LLP,CP-011,50840.38,False,0,2026-05-21,2026-06-20,OPEN
INV-1121,Nair Logistics,CP-006,24755.15,True,0.1,2026-05-07,2026-06-06,OPEN
INV-1122,Nair Logistics,CP-006,30884.78,True,0.02,2026-06-21,2026-07-21,OPEN
INV-1123,Patel Chemicals LLP,CP-043,20840.52,False,0,2026-06-21,2026-07-21,OPEN
INV-1124,Venkat Textiles,CP-007,50085.64,True,0.1,2026-06-20,2026-08-04,OPEN
INV-1125,Agarwal Packaging,CP-009,18716.21,True,0.02,2026-07-06,2026-07-21,OPEN
INV-1126,Venkat Polymers Pvt Ltd,CP-005,263931.51,True,0.02,2026-05-26,2026-06-25,OPEN
INV-1127,Agarwal Distributors,CP-003,63389.73,False,0,2026-05-12,2026-06-26,OPEN
INV-1128,Venkat Motors & Co,CP-020,215137.01,False,0,2026-05-29,2026-07-13,OPEN
INV-1129,Agarwal Chemicals & Co,CP-036,74762.83,True,0.02,2026-05-28,2026-06-27,OPEN
INV-1130,Bose Textiles Pvt Ltd,CP-004,73394.74,False,0,2026-07-11,2026-08-25,OPEN
INV-1131,Bhatt Traders Ltd,CP-000,72537.51,False,0,2026-07-16,2026-08-30,OPEN
INV-1132,Venkat Traders & Co,CP-028,55972.14,False,0,2026-06-01,2026-07-16,OPEN
INV-1133,Bose Textiles Pvt Ltd,CP-004,40405.76,False,0,2026-05-01,2026-05-31,OPEN
INV-1134,Venkat Textiles,CP-007,32361.58,False,0,2026-06-28,2026-07-28,OPEN
INV-1135,Venkat Polymers Pvt Ltd,CP-005,14157.72,True,0.1,2026-06-16,2026-07-31,OPEN
INV-1136,Agarwal Packaging,CP-009,96517.17,False,0,2026-05-07,2026-06-06,OPEN
INV-1137,Trivedi Chemicals Pvt Ltd,CP-017,7079.75,False,0,2026-07-28,2026-08-12,OPEN
INV-1138,Bhatt Traders Ltd,CP-000,92618.30,False,0,2026-05-22,2026-07-06,OPEN
INV-1139,Trivedi Enterprises Ltd,CP-048,14278.69,True,0.1,2026-06-02,2026-07-02,OPEN
INV-1140,Bhatt Traders Ltd,CP-000,41888.06,False,0,2026-05-27,2026-07-11,OPEN
INV-1141,Agarwal Packaging,CP-009,30030.77,False,0,2026-05-24,2026-07-08,OPEN
INV-1142,Rastogi Infotech Ltd,CP-049,569517.12,False,0,2026-05-22,2026-06-21,OPEN
INV-1143,Bhatt Traders Ltd,CP-000,45726.08,False,0,2026-06-16,2026-07-16,OPEN
INV-1144,Agarwal Steels LLP,CP-011,114932.91,True,0.1,2026-05-14,2026-06-28,OPEN
INV-1145,Venkat Textiles Pvt Ltd,CP-030,48373.26,False,0,2026-05-11,2026-05-26,OPEN
INV-1146,Iyer Packaging,CP-015,109640.74,True,0.1,2026-07-06,2026-08-20,OPEN
INV-1147,Bhatt Traders Ltd,CP-000,55027.58,False,0,2026-07-05,2026-07-20,OPEN
INV-1148,Bhatt Traders Ltd,CP-000,11921.08,True,0.1,2026-05-03,2026-06-02,OPEN
INV-1149,Bhatt Traders Ltd,CP-000,30202.67,True,0.02,2026-07-14,2026-07-29,OPEN
INV-1150,Bose Textiles Pvt Ltd,CP-004,73332.91,False,0,2026-05-02,2026-05-17,OPEN
INV-1151,Rastogi Enterprises LLP,CP-022,37010.56,False,0,2026-05-19,2026-06-18,OPEN
INV-1152,Venkat Polymers Pvt Ltd,CP-005,66925.43,False,0,2026-06-14,2026-07-29,OPEN
INV-1153,Venkat Textiles,CP-007,8929.70,True,0.02,2026-06-21,2026-07-06,OPEN
INV-1154,Reddy Traders Ltd,CP-045,8310.27,False,0,2026-07-24,2026-08-08,OPEN
INV-1155,Nair Logistics,CP-006,43429.58,False,0,2026-07-22,2026-09-05,OPEN
INV-1156,Agarwal Logistics,CP-001,26354.63,False,0,2026-05-07,2026-06-21,OPEN
INV-1157,Patel Distributors Ltd,CP-029,323516.44,True,0.1,2026-06-29,2026-07-14,OPEN
INV-1158,Agarwal Logistics,CP-001,18145.14,True,0.1,2026-05-05,2026-06-19,OPEN
INV-1159,Bhatt Traders Ltd,CP-000,77186.42,False,0,2026-07-27,2026-09-10,OPEN
INV-1160,Chauhan Textiles LLP,CP-054,40693.14,False,0,2026-05-31,2026-06-15,OPEN
INV-1161,Nair Traders Pvt Ltd,CP-050,70587.24,True,0.02,2026-06-19,2026-07-19,OPEN
INV-1162,Malhotra Polymers Ltd,CP-044,77417.26,False,0,2026-07-25,2026-09-08,OPEN
INV-1163,Iyer Industries,CP-008,227426.18,False,0,2026-05-04,2026-06-18,OPEN
INV-1164,Iyer Solutions,CP-002,26802.37,False,0,2026-07-12,2026-07-27,OPEN
INV-1165,Bhatt Traders Ltd,CP-000,8224.49,True,0.02,2026-05-21,2026-07-05,OPEN
INV-1166,Bhatt Traders Ltd,CP-000,79396.57,True,0.1,2026-05-06,2026-05-21,OPEN
INV-1167,Chatterjee Agro,CP-033,18700.06,True,0.02,2026-05-15,2026-06-29,OPEN
INV-1168,Bose Solutions Pvt Ltd,CP-016,38532.71,True,0.1,2026-07-22,2026-08-21,OPEN
INV-1169,Nair Logistics,CP-006,12320.87,False,0,2026-06-17,2026-08-01,OPEN
INV-1170,Agarwal Packaging,CP-009,166247.01,False,0,2026-05-04,2026-05-19,OPEN
INV-1171,Nair Logistics,CP-006,76522.17,False,0,2026-05-07,2026-05-22,OPEN
INV-1172,Rastogi Enterprises LLP,CP-022,131884.52,True,0.02,2026-06-06,2026-07-21,OPEN
INV-1173,Agarwal Logistics,CP-001,37620.43,False,0,2026-05-24,2026-07-08,OPEN
INV-1174,Bose Textiles Pvt Ltd,CP-004,80249.70,True,0.02,2026-05-21,2026-07-05,OPEN
INV-1175,Iyer Solutions,CP-002,90057.35,False,0,2026-07-29,2026-08-13,OPEN
INV-1176,Bose Solutions Pvt Ltd,CP-016,27658.05,False,0,2026-06-20,2026-08-04,OPEN
INV-1177,Bhatt Traders Ltd,CP-000,21680.47,False,0,2026-07-09,2026-08-08,OPEN
INV-1178,Chatterjee Packaging & Co,CP-056,9708.50,False,0,2026-07-28,2026-09-11,OPEN
INV-1179,Bhatt Traders Ltd,CP-000,52227.54,False,0,2026-06-27,2026-08-11,OPEN
INV-1180,Agarwal Distributors,CP-003,33424.88,False,0,2026-06-02,2026-06-17,OPEN
INV-1181,Agarwal Distributors,CP-003,82959.31,True,0.1,2026-07-04,2026-08-18,OPEN
INV-1182,Deshmukh Logistics Pvt Ltd,CP-034,77249.51,False,0,2026-06-01,2026-07-16,OPEN
INV-1183,Malhotra Textiles LLP,CP-010,18413.86,True,0.02,2026-05-25,2026-06-09,OPEN
INV-1184,Pillai Traders & Co,CP-053,14781.72,False,0,2026-05-19,2026-07-03,OPEN
INV-1185,Agarwal Distributors,CP-003,27117.67,True,0.1,2026-05-14,2026-06-13,OPEN
INV-1186,Bhatt Traders Ltd,CP-000,19034.52,True,0.1,2026-07-28,2026-08-27,OPEN
INV-1187,Bhatt Traders Ltd,CP-000,9584.83,False,0,2026-05-01,2026-05-31,OPEN
INV-1188,Deshmukh Packaging Ltd,CP-021,58842.01,False,0,2026-05-30,2026-07-14,OPEN
INV-1189,Rastogi Traders,CP-040,164519.11,False,0,2026-05-30,2026-07-14,OPEN
INV-1190,Bhatt Traders Ltd,CP-000,34865.78,True,0.1,2026-07-29,2026-08-13,OPEN
INV-1191,Patel Distributors Ltd,CP-029,97590.12,False,0,2026-06-02,2026-07-02,OPEN
INV-1192,Venkat Textiles,CP-007,55148.30,False,0,2026-07-26,2026-08-10,OPEN
INV-1193,Bose Motors & Co,CP-042,17825.00,True,0.02,2026-05-28,2026-07-12,OPEN
INV-1194,Bose Textiles Pvt Ltd,CP-004,107659.39,False,0,2026-05-27,2026-07-11,OPEN
INV-1195,Bhatt Traders Ltd,CP-000,82200.06,False,0,2026-06-13,2026-07-13,OPEN
INV-1196,Agarwal Logistics,CP-001,64122.49,False,0,2026-05-16,2026-06-30,OPEN
INV-1197,Bose Textiles Pvt Ltd,CP-004,15624.60,True,0.02,2026-06-21,2026-07-21,OPEN
INV-1198,Reddy Traders Ltd,CP-045,73906.34,True,0.02,2026-07-14,2026-08-13,OPEN
INV-1199,Sinha Agro & Co,CP-025,168765.24,False,0,2026-05-29,2026-06-28,OPEN
INV-1200,Venkat Textiles,CP-007,10678.44,False,0,2026-05-29,2026-06-13,OPEN
INV-1201,Bose Textiles Pvt Ltd,CP-004,130909.92,False,0,2026-06-22,2026-07-22,OPEN
INV-1202,Deshmukh Enterprises,CP-026,114602.47,False,0,2026-06-30,2026-07-15,OPEN
INV-1203,Iyer Solutions,CP-002,31064.56,False,0,2026-06-24,2026-07-24,OPEN
INV-1204,Bhatt Traders Ltd,CP-000,64628.39,False,0,2026-06-01,2026-07-01,OPEN
INV-1205,Iyer Industries,CP-008,29602.16,False,0,2026-07-24,2026-08-08,OPEN
INV-1206,Patel Exports Ltd,CP-047,66848.10,False,0,2026-06-14,2026-06-29,OPEN
INV-1207,Pillai Textiles,CP-018,24762.64,True,0.02,2026-06-07,2026-07-22,OPEN
INV-1208,Bhatt Traders Ltd,CP-000,6384.00,False,0,2026-06-14,2026-06-29,OPEN
INV-1209,Malhotra Polymers Ltd,CP-044,68955.37,False,0,2026-07-28,2026-08-12,OPEN
INV-1210,Bose Agro,CP-019,77013.58,True,0.02,2026-07-28,2026-09-11,OPEN
INV-1211,Kulkarni Agro Pvt Ltd,CP-035,54143.66,True,0.02,2026-05-16,2026-05-31,OPEN
INV-1212,Iyer Industries,CP-008,47633.24,False,0,2026-05-19,2026-06-03,OPEN
INV-1213,Agarwal Packaging,CP-009,62645.34,True,0.1,2026-05-01,2026-05-31,OPEN
INV-1214,Deshmukh Packaging Ltd,CP-021,39924.47,False,0,2026-06-29,2026-07-29,OPEN
INV-1215,Deshmukh Distributors,CP-059,55910.01,False,0,2026-06-16,2026-07-01,OPEN
INV-1216,Bhatt Traders Ltd,CP-000,11904.73,True,0.1,2026-05-19,2026-07-03,OPEN
INV-1217,Bhatt Traders Ltd,CP-000,6397.73,False,0,2026-06-13,2026-07-28,OPEN
INV-1218,Agarwal Steels LLP,CP-011,97668.70,False,0,2026-06-13,2026-07-28,OPEN
INV-1219,Bhatt Traders Ltd,CP-000,24224.79,False,0,2026-07-03,2026-08-17,OPEN
INV-1220,Patel Chemicals,CP-057,96654.95,False,0,2026-05-27,2026-06-11,OPEN
INV-1221,Agarwal Distributors,CP-003,26823.07,False,0,2026-07-15,2026-07-30,OPEN
INV-1222,Patel Distributors Ltd,CP-029,148692.47,False,0,2026-05-07,2026-05-22,OPEN
INV-1223,Bhatt Traders Ltd,CP-000,65557.84,False,0,2026-07-04,2026-08-18,OPEN
INV-1224,Venkat Polymers Pvt Ltd,CP-005,7554.73,False,0,2026-07-28,2026-09-11,OPEN
INV-1225,Bhatt Traders Ltd,CP-000,50723.48,True,0.02,2026-07-24,2026-08-23,OPEN
INV-1226,Venkat Traders & Co,CP-028,257043.99,False,0,2026-06-17,2026-07-02,OPEN
INV-1227,Patel Distributors Ltd,CP-029,45671.19,True,0.02,2026-06-08,2026-07-08,OPEN
INV-1228,Bhatt Traders Ltd,CP-000,51167.12,False,0,2026-05-07,2026-06-21,OPEN
INV-1229,Bhatt Traders Ltd,CP-000,167576.88,True,0.1,2026-06-27,2026-08-11,OPEN
INV-1230,Trivedi Logistics,CP-013,37627.35,True,0.1,2026-05-14,2026-05-29,OPEN
INV-1231,Patel Chemicals LLP,CP-043,56495.95,False,0,2026-05-02,2026-05-17,OPEN
INV-1232,Patel Chemicals,CP-057,81468.90,True,0.02,2026-05-16,2026-06-15,OPEN
INV-1233,Mehta Chemicals LLP,CP-023,9013.82,False,0,2026-05-24,2026-06-23,OPEN
INV-1234,Venkat Traders & Co,CP-028,393058.99,True,0.1,2026-05-11,2026-06-10,OPEN
INV-1235,Bose Agro,CP-019,85374.63,True,0.02,2026-06-19,2026-07-19,OPEN
INV-1236,Iyer Packaging,CP-015,77907.11,True,0.02,2026-05-22,2026-06-21,OPEN
INV-1237,Mehta Traders LLP,CP-051,34190.69,False,0,2026-06-27,2026-08-11,OPEN
INV-1238,Agarwal Distributors,CP-003,16340.04,False,0,2026-07-23,2026-09-06,OPEN
INV-1239,Agarwal Distributors,CP-003,144697.21,False,0,2026-06-09,2026-06-24,OPEN
INV-1240,Venkat Polymers Pvt Ltd,CP-005,82173.96,False,0,2026-05-30,2026-06-29,OPEN
INV-1241,Venkat Motors & Co,CP-020,27544.02,False,0,2026-05-21,2026-06-05,OPEN
INV-1242,Agarwal Distributors,CP-003,55901.74,True,0.02,2026-07-03,2026-08-17,OPEN
INV-1243,Agarwal Steels LLP,CP-011,71272.06,True,0.02,2026-05-30,2026-07-14,OPEN
INV-1244,Venkat Polymers Pvt Ltd,CP-005,45919.40,False,0,2026-06-19,2026-07-04,OPEN
INV-1245,Malhotra Textiles LLP,CP-010,31613.46,False,0,2026-06-20,2026-07-20,OPEN
INV-1246,Iyer Agro Pvt Ltd,CP-041,42807.93,True,0.02,2026-07-15,2026-07-30,OPEN
INV-1247,Bhatt Traders Ltd,CP-000,78037.68,False,0,2026-07-13,2026-08-12,OPEN
INV-1248,Venkat Traders & Co,CP-028,83385.36,False,0,2026-07-03,2026-07-18,OPEN
INV-1249,Bose Textiles Pvt Ltd,CP-004,37741.56,False,0,2026-06-10,2026-07-10,OPEN
INV-1250,Iyer Solutions,CP-002,48175.01,False,0,2026-05-27,2026-07-11,OPEN
INV-1251,Iyer Industries,CP-008,46188.18,False,0,2026-06-05,2026-07-05,OPEN
INV-1252,Reddy Logistics,CP-027,22845.01,True,0.02,2026-05-11,2026-06-25,OPEN
INV-1253,Bose Textiles Pvt Ltd,CP-004,74496.41,False,0,2026-05-09,2026-06-23,OPEN
INV-1254,Venkat Polymers Pvt Ltd,CP-005,16970.43,True,0.1,2026-07-22,2026-08-06,OPEN
INV-1255,Venkat Textiles,CP-007,15409.35,True,0.02,2026-06-15,2026-06-30,OPEN
INV-1256,Iyer Solutions,CP-002,43436.41,True,0.02,2026-07-01,2026-07-31,OPEN
INV-1257,Deshmukh Enterprises,CP-026,18761.79,True,0.1,2026-07-23,2026-08-22,OPEN
INV-1258,Iyer Solutions,CP-002,13110.76,False,0,2026-05-22,2026-06-06,OPEN
INV-1259,Reddy Traders Ltd,CP-045,125234.19,False,0,2026-05-25,2026-06-09,OPEN
INV-1260,Patel Exports Ltd,CP-047,14673.12,False,0,2026-05-13,2026-06-12,OPEN
INV-1261,Agarwal Chemicals & Co,CP-036,57635.92,True,0.02,2026-06-13,2026-07-13,OPEN
INV-1262,Bhatt Traders Ltd,CP-000,29447.50,True,0.1,2026-05-08,2026-06-22,OPEN
INV-1263,Bose Motors & Co,CP-042,35926.26,False,0,2026-06-23,2026-07-08,OPEN
INV-1264,Bhatt Traders Ltd,CP-000,46901.93,True,0.02,2026-05-22,2026-06-21,OPEN
INV-1265,Venkat Textiles,CP-007,38869.67,True,0.02,2026-07-05,2026-08-19,OPEN
INV-1266,Iyer Industries,CP-008,25727.40,False,0,2026-05-26,2026-06-25,OPEN
